,alt.atheism,alt.atheism,alt.atheism,alt.atheism,comp.graphics,comp.graphics,comp.graphics,comp.graphics,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.sys.mac.hardware,comp.sys.mac.hardware,comp.sys.mac.hardware,comp.windows.x,comp.windows.x,comp.windows.x,comp.windows.x,misc.forsale,misc.forsale,misc.forsale,misc.forsale,rec.autos,rec.autos,rec.autos,rec.autos,rec.motorcycles,rec.motorcycles,rec.motorcycles,rec.motorcycles,rec.sport.baseball,rec.sport.baseball,rec.sport.baseball,rec.sport.baseball,rec.sport.hockey,rec.sport.hockey,rec.sport.hockey,rec.sport.hockey,sci.crypt,sci.crypt,sci.crypt,sci.crypt,sci.electronics,sci.electronics,sci.electronics,sci.electronics,sci.med,sci.med,sci.med,sci.med,sci.space,sci.space,sci.space,sci.space,soc.religion.christian,soc.religion.christian,soc.religion.christian,soc.religion.christian,talk.politics.guns,talk.politics.guns,talk.politics.guns,talk.politics.guns,talk.politics.mideast,talk.politics.mideast,talk.politics.mideast,talk.politics.mideast,talk.politics.misc,talk.politics.misc,talk.politics.misc,talk.politics.misc,talk.religion.misc,talk.religion.misc,talk.religion.misc,talk.religion.misc
,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information,Most Positive Word Weights,Mutual Information,Most Negative Word Weights,Mutual Information
0,writes,0.06379903590812087,mail,0.01832372889031742,cview,0.005546811450652552,list,0.006094090132132507,using,0.031743683789274696,of,0.040360268401766,motherboard,0.01870363906332425,re,0.07865298183263716,simms,0.014241440004477414,was,0.049566692735217584,color,0.017081455618000164,he,0.07569191875770331,drive,0.03274147841405679,re,0.07865298183263716,automotive,0.0122663432171596,david,0.011005267186351747,ama,0.0149759985200392,of,0.040360268401766,cubs,0.011476885040464074,by,0.043651519071416255,ca,0.01764323439984224,com,0.030111668112100018,cryptography,0.020818819189280337,out,0.01398596889128314,mhz,0.019514007004769584,windows,0.10689056198319917,medicine,0.016604218723366187,god,0.10450424621579651,earth,0.02709753556384953,your,0.02777448429434493,geneva,0.020169104270915776,article,0.0517635413863409,rights,0.02909573429017612,is,0.02749602400281534,armenia,0.0332109989776014,thanks,0.04424730220588836,president,0.022982585273536846,read,0.012461578056114628,religion,0.04077150543349095,thanks,0.04424730220588836
1,mathew,0.009004579679546291,ca,0.01764323439984224,format,0.013381020110263554,people,0.07416557350736769,use,0.029850752091182375,he,0.07569191875770331,dos,0.04389669855424547,mac,0.043275958278528294,monitor,0.022231563592622045,windows,0.10689056198319917,display,0.01908985574018544,they,0.05194879587843944,interested,0.014393938899786147,that,0.05478740520669512,warning,0.009474454934144012,to,0.019877997748430683,honda,0.01720355713435588,does,0.015466948219059013,year,0.03627256470253578,of,0.040360268401766,season,0.04874615106726125,of,0.040360268401766,government,0.07921074939243042,an,0.017309318370784383,hc,0.005011863912353911,who,0.06876118766809201,food,0.016540961793839612,out,0.01398596889128314,flight,0.016122269437581105,my,0.021668019107045244,jesus,0.060321621336069706,com,0.030111668112100018,government,0.07921074939243042,mail,0.01832372889031742,american,0.03099372298418949,use,0.029850752091182375,top,0.009085967177941523,any,0.016082005839639302,frank,0.014375599241017079,it,0.024781152576688264
2,political,0.03370988632595016,rutgers,0.05239963810769727,polygon,0.00739765994835285,right,0.015789895663952672,ftp,0.025237298199392747,we,0.062490734288771624,scsi,0.02699544437872222,sun,0.018816266190193328,duo,0.008793111518150728,who,0.06876118766809201,xlib,0.014718660094442325,go,0.02220427861254435,price,0.019799987750826423,help,0.019727047658872208,oil,0.009769560873654302,uk,0.01627375670427915,motorcycles,0.013604943207321767,using,0.031743683789274696,games,0.044471442134776266,which,0.021206373492881223,players,0.045424182301361894,about,0.026828653383181505,nsa,0.03170643750068792,thanks,0.04424730220588836,line,0.006263779918139462,he,0.07569191875770331,information,0.015583508101696206,them,0.024622816822421345,times,0.01086804826720603,have,0.011174799387041627,christian,0.06657894224068943,using,0.031743683789274696,atf,0.018346433668276135,go,0.02220427861254435,arab,0.03224233339385558,for,0.008392044311204341,drugs,0.0143535095828623,ca,0.01764323439984224,promise,0.007417288096871746,for,0.008392044311204341
3,bible,0.052473010434919004,get,0.009899722407617549,tiff,0.008819441733723322,questions,0.006978758411525351,driver,0.02159865578040958,who,0.06876118766809201,gateway,0.010688987975676589,years,0.025307200954563146,se,0.01042957159035217,com,0.030111668112100018,mit,0.01488671351385685,re,0.07865298183263716,for,0.008392044311204341,anyone,0.01668559950589528,dealer,0.01665683022138169,bike,0.0687549948206005,riding,0.023855937102895956,could,0.01624358595950692,he,0.07569191875770331,from,0.02272620900691053,play,0.03639539346151873,use,0.029850752091182375,crypto,0.03518033114135296,help,0.019727047658872208,radio,0.011975102119855424,been,0.023975704352114425,pitt,0.026245889565843325,the,0.02277150454939437,shuttle,0.019394315333241312,too,0.013934203640302099,clh,0.023177271646936736,on,0.017849496434084837,weapons,0.03024493674629184,some,0.018990117472572832,argic,0.021873829184740935,anyone,0.01668559950589528,optilink,0.014366513307068453,christian,0.06657894224068943,biblical,0.021088139602927755,rutgers,0.05239963810769727
4,religion,0.04077150543349095,thanks,0.04424730220588836,points,0.010319889109000085,who,0.06876118766809201,drivers,0.020376216732701118,by,0.043651519071416255,ide,0.022423917751181233,apple,0.03797819079560802,powerbook,0.011837106762056042,dos,0.04389669855424547,widget,0.01892735904210093,who,0.06876118766809201,offer,0.023576896244138272,thanks,0.04424730220588836,toyota,0.010788458401443914,one,0.01984932866049233,ride,0.02923459992619633,windows,0.10689056198319917,team,0.07458830854669563,it,0.024781152576688264,go,0.02220427861254435,work,0.014942077882040227,security,0.034530058471360835,you,0.023508007493078648,voltage,0.013084042973947196,because,0.03197367724902865,health,0.021816852690290545,government,0.07921074939243042,launch,0.022252192124284045,do,0.026061103046127188,christ,0.04673237858850519,system,0.02941564753355448,firearms,0.02677024051421857,computer,0.022494507428097495,jewish,0.0342313896049021,my,0.021668019107045244,cramer,0.015696160890691754,does,0.015466948219059013,jesus,0.060321621336069706,year,0.03627256470253578
5,islamic,0.02111815448821228,may,0.017474609763932943,pov,0.006625663766971251,really,0.012205938105336198,cica,0.01199003436389485,his,0.06329199055301486,monitors,0.009360484522409071,we,0.062490734288771624,lc,0.011853024292357477,pc,0.035558324023824014,xterm,0.01357854717260423,post,0.006880096165044405,shipping,0.030911613358051298,the,0.02277150454939437,auto,0.012730357533931813,card,0.0423364917041428,bmw,0.0226662067320399,believe,0.03374525289980716,game,0.056992636444257935,com,0.030111668112100018,playoff,0.02520263036927854,do,0.026061103046127188,code,0.03390425438298059,god,0.10450424621579651,radar,0.00766907499226335,did,0.02758602970556866,treatment,0.01737142627149558,someone,0.00879971395803595,nasa,0.036739848980865346,windows,0.10689056198319917,christians,0.05952063437502484,next,0.010754492533700317,batf,0.022608259877923288,there,0.02606162161228805,serdar,0.021611575581851186,the,0.02277150454939437,tax,0.014260189142353382,jim,0.013365980705343627,morality,0.02581389512308628,need,0.010352323869811865
6,atheism,0.024121034685860993,with,0.00947941375554605,files,0.030714806633768715,us,0.033273747667493754,files,0.030714806633768715,question,0.016615259860081166,dx,0.02073495703787231,code,0.03390425438298059,centris,0.01754440351405412,were,0.05331916211338841,sun,0.018816266190193328,was,0.049566692735217584,sell,0.018182571915263922,where,0.011832120713340902,engine,0.021390204276065708,software,0.02880526883110376,motorcycle,0.02383685730333352,computer,0.022494507428097495,runs,0.015457242635646382,hockey,0.060439869896954705,game,0.056992636444257935,is,0.02749602400281534,chip,0.06812245497783619,anyone,0.01668559950589528,tv,0.01289667703859533,think,0.02884962477401626,medical,0.02047832666790248,so,0.018612440025073253,pat,0.016951985239666678,computer,0.022494507428097495,athos,0.03674112528380041,mr,0.018505485730707167,fbi,0.028839352567665438,message,0.012405091601967493,turkish,0.03455928185109045,than,0.01799926311190681,government,0.07921074939243042,can,0.013647231451748822,koresh,0.01825383632701338,problem,0.020829072889509175
7,god,0.10450424621579651,use,0.029850752091182375,images,0.014409153283424547,drive,0.03274147841405679,file,0.03614206102630237,ibm,0.012153720741939253,monitor,0.022231563592622045,latest,0.005716612473758158,quadra,0.018463842235782856,his,0.06329199055301486,server,0.022092117090380066,these,0.015861476198912837,wanted,0.0061289408559772225,think,0.02884962477401626,ford,0.012096593995318462,that,0.05478740520669512,bikes,0.02581675907651629,an,0.017309318370784383,players,0.045424182301361894,system,0.02941564753355448,team,0.07458830854669563,god,0.10450424621579651,encryption,0.06690676268376816,much,0.00966226894763189,power,0.01887283786876762,we,0.062490734288771624,msg,0.011600256752230182,car,0.07290154819694362,moon,0.025352361782778467,people,0.07416557350736769,church,0.03586048388894324,still,0.010416820806666973,waco,0.026289961653532923,please,0.014353325496092882,jews,0.041696669336516785,out,0.01398596889128314,gay,0.016879387566645383,but,0.01882851182677552,order,0.008762138552321386,up,0.009967095238614741
8,keith,0.024457637074981914,called,0.009519045092001376,image,0.019218217913999327,down,0.016497489980811016,win,0.04867410961850969,mac,0.043275958278528294,card,0.0423364917041428,in,0.02673388384712988,apple,0.03797819079560802,controller,0.02646486974636477,window,0.03887314569591347,buy,0.01683555774665422,forsale,0.015950795502394526,but,0.01882851182677552,cars,0.04101346777331923,of,0.040360268401766,bike,0.0687549948206005,these,0.015861476198912837,phillies,0.014207847734321582,nhl,0.04413823761033499,nhl,0.04413823761033499,run,0.01574196096732377,key,0.06033593074274498,edu,0.017784231085164255,electronics,0.012827461694445074,steve,0.011515484859657336,disease,0.022900634741449,drive,0.03274147841405679,orbit,0.03257251260179909,because,0.03197367724902865,god,0.10450424621579651,too,0.013934203640302099,guns,0.040368679146938855,any,0.016082005839639302,israeli,0.05376890664611244,little,0.008833305916829138,kaldis,0.007200317301232396,is,0.02749602400281534,god,0.10450424621579651,work,0.014942077882040227
9,atheists,0.040563410000126025,used,0.009382633304606735,graphics,0.04673240737986587,mit,0.01488671351385685,windows,0.10689056198319917,long,0.014132072096100338,pc,0.035558324023824014,before,0.013382683906619026,mac,0.043275958278528294,re,0.07865298183263716,motif,0.028724174503029436,someone,0.00879971395803595,sale,0.08432975343017271,do,0.026061103046127188,car,0.07290154819694362,etc,0.005463942881442902,dod,0.08023929848257759,de,0.013744420858340373,baseball,0.04910058214316322,its,0.016891977718785683,hockey,0.060439869896954705,such,0.033842444333871416,clipper,0.08230290678040691,want,0.008510328829121281,circuit,0.019790052806571548,not,0.03855102833855712,doctor,0.01842076383552515,internet,0.008561288720943304,space,0.0555510970360164,file,0.03614206102630237,rutgers,0.05239963810769727,getting,0.0068693669652778785,gun,0.05752237122429585,new,0.010077239654698332,israel,0.059316272630551635,but,0.01882851182677552,clinton,0.03964793452301512,those,0.023213786606408573,christian,0.06657894224068943,any,0.016082005839639302
